density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num,deformation_modulus(-),silo_FoS(-),stability_class
1.6e-09,30,0.2,32.5,3.25,0.0254,0.0140603078981377,0.0738690803006638,0.00619462,2.55642e-07,52,1.1318429088157513,1.1295097743495173,STABLE
1.6e-09,30,0.2,32.5,3.25,0.0377,0.0180475593916395,0.0247629303280634,0.00350604,7.332e-07,53,1.0578033598557535,1.0932490641897044,STABLE
1.6e-09,30,0.2,32.5,3.25,0.05,0.0182574147334027,0.00377739615173849,0.00174353,1.15813e-05,54,1.032855364523952,1.1928175609907996,STABLE
1.6e-09,30,0.2,32.5,9.75,0.0008,0.0104927670881625,1.26563756617416,0.0315271,3.11414e-08,55,2.690638162364496,1.2866510145607841,STABLE
1.6e-09,30,0.2,32.5,9.75,0.0131,0.0113321884552155,0.24217306439479,0.0129031,9.706e-09,56,1.3887195039658053,1.2613454854238586,STABLE
1.6e-09,30,0.2,32.5,9.75,0.0254,0.015949005974007,0.0763873444018228,0.00664687,5.5235e-07,57,1.1307929617760337,1.2101537465567822,STABLE
1.6e-09,30,0.2,32.5,9.75,0.0377,0.017627848708113,0.0260220623786429,0.00368728,2.16238e-07,58,1.0581951311392301,1.1116818551596526,STABLE
1.6e-09,30,0.2,32.5,9.75,0.05,0.0178377040498762,0.00440696217702824,0.00184773,1.15215e-06,59,1.0334090679379326,1.1941210739841865,STABLE
1.6e-09,30,0.2,32.5,16.25,0.0008,0.0104927670881625,3.25653519348211,0.106276,3.90096e-08,60,9.82630285982229,1.3368839635876952,STABLE
1.6e-09,30,0.2,32.5,16.25,0.0131,0.0130110311893215,0.245530749863002,0.0147775,2.13215e-07,61,1.3823414674708034,1.328496765362835,STABLE
1.6e-09,30,0.2,32.5,16.25,0.0254,0.0153194399487172,0.0803745958953246,0.00726851,3.06183e-07,62,1.1285102410976422,1.2486896227337123,STABLE
1.6e-09,30,0.2,32.5,16.25,0.0377,0.0165785719992967,0.0285403264798019,0.00390086,2.0195e-07,63,1.057939173900692,1.1300248052187283,STABLE
