density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num
1.6e-09,30,0.4,38.75,3.875,0.0005,0,0,0.0117038,1.59703e-08,200
1.6e-09,30,0.4,38.75,3.875,0.025375,0,0,0.00486113,2.5196e-08,201
1.6e-09,30,0.4,38.75,3.875,0.05025,0,0,0.000873961,1.6613e-06,202
1.6e-09,30,0.4,38.75,3.875,0.075125,0,0,0,0,203
1.6e-09,30,0.4,38.75,3.875,0.1,0,0,0,0,204
1.6e-09,30,0.4,38.75,11.625,0.0005,0,0,0.0204305,3.54472e-10,205
1.6e-09,30,0.4,38.75,11.625,0.025375,0,0,0.00514898,3.61133e-07,206
1.6e-09,30,0.4,38.75,11.625,0.05025,0,0,0.00104219,1.6922e-06,207
1.6e-09,30,0.4,38.75,11.625,0.075125,0,0,0,0,208
1.6e-09,30,0.4,38.75,11.625,0.1,0,0,0,0,209
1.6e-09,30,0.4,38.75,19.375,0.0005,0,3.00323979597386,0.0337927,1.79562e-08,210
1.6e-09,30,0.4,38.75,19.375,0.025375,0,0,0.00551289,2.80213e-08,211
1.6e-09,30,0.4,38.75,19.375,0.05025,0,0,0.00118031,2.12169e-07,212
1.6e-09,30,0.4,38.75,19.375,0.075125,0,0,0,0,213
1.6e-09,30,0.4,38.75,19.375,0.1,0,0,0,0,214
1.6e-09,30,0.4,38.75,27.125,0.0005,0,3.2263160242682,0.0461116,4.33952e-06,215
1.6e-09,30,0.4,38.75,27.125,0.025375,0,0,0.00602222,9.60255e-07,216
1.6e-09,30,0.4,38.75,27.125,0.05025,0,0,0.00130178,3.33012e-07,217
1.6e-09,30,0.4,38.75,27.125,0.075125,0,0,0,0,218
1.6e-09,30,0.4,38.75,27.125,0.1,0,0,0,0,219
1.6e-09,30,0.4,38.75,34.875,0.0005,0,10.9061821114361,0.953989,2.21012e-05,220
1.6e-09,30,0.4,38.75,34.875,0.025375,0,0,0.00682682,8.76113e-08,221
1.6e-09,30,0.4,38.75,34.875,0.05025,0,0,0.00140608,2.79681e-08,222
1.6e-09,30,0.4,38.75,34.875,0.075125,0,0,0,0,223
1.6e-09,30,0.4,38.75,34.875,0.1,0,0,0,0,224
1.6e-09,30,0.4,45,4.5,0.0005,NaN,NaN,NaN,NaN,225
1.6e-09,30,0.4,45,4.5,0.025375,0,0,0.00422465,1.16778e-07,226
1.6e-09,30,0.4,45,4.5,0.05025,0,0,0.000663683,7.05392e-07,227
1.6e-09,30,0.4,45,4.5,0.075125,0,0,0,0,228
1.6e-09,30,0.4,45,4.5,0.1,0,0,0,0,229
1.6e-09,30,0.4,45,13.5,0.0005,0,0,0.0184657,5.06259e-05,230
